team,elo
Navy Midshipmen,1481.3611713178043
Evansville Purple Aces,1481.117931171855
UNLV Rebels,1480.8985886583266
Western Carolina Catamounts,1480.85450002419
New Hampshire Wildcats,1480.809146303367
Oklahoma Sooners,1480.7591411921373
Columbia Lions,1480.5974379997629
UL Monroe Warhawks,1480.583511630534
The Citadel Bulldogs,1480.5823362556437
Princeton Tigers,1480.3341179126826
VMI Keydets,1480.3038239444872
Southern Utah Thunderbirds,1480.2292734177909
Cleveland State Vikings,1480.14491203105
UAB Blazers,1480.0557437867617
Elon Phoenix,1480.0477171134394
Idaho Vandals,1480.0297543816216
Loyola Maryland Greyhounds,1479.991969741876
Georgetown Hoyas,1479.8967914712307
Brown Bears,1479.7914954601479
Longwood Lancers,1479.759501246524
Morgan State Bears,1479.7447533632517
Coppin State Eagles,1479.4992123771706
Kansas City Roos,1479.4851906306728
Iowa Hawkeyes,1479.2681535399943
Jacksonville Dolphins,1479.2438363467231
Miami Hurricanes,1479.23079296824
Southern Indiana Screaming Eagles,1479.1597135932568
Eastern Kentucky Colonels,1479.0113832102747
DePaul Blue Demons,1478.9823117752087
San Francisco Dons,1478.7592289044376
Arkansas-Pine Bluff Golden Lions,1478.6928231152958
Seton Hall Pirates,1477.8669712986139
Pepperdine Waves,1477.506777713729
Oakland Golden Grizzlies,1477.1089869626
Washington Huskies,1476.1402354958966
California Baptist Lancers,1473.4700740149128
Tennessee Tech Golden Eagles,1473.3477141959045
Ohio State Buckeyes,1473.2422828016627
Ohio Bobcats,1472.9744703649712
Ole Miss Rebels,1472.6608480155692
Colgate Raiders,1472.5076593329038
Indiana State Sycamores,1472.4798156115548
South Carolina Upstate Spartans,1472.349786935621
Loyola Chicago Ramblers,1472.1627813502166
Binghamton Bearcats,1471.7338746759342
Saint Francis Red Flash,1471.7223734371478
George Washington Revolutionaries,1471.6947688347616
Valparaiso Beacons,1471.6893888561838
Louisiana Ragin' Cajuns,1471.4285961362962
Florida Atlantic Owls,1471.1556623227286
South Carolina Gamecocks,1471.0568775464023
Nicholls Colonels,1470.9370658344874
Grambling Tigers,1470.9365418855518
Providence Friars,1470.6084058740853
Florida Gulf Coast Eagles,1470.6059658182028
Florida International Panthers,1470.6052244357227
Manhattan Jaspers,1470.56721209952
